,Text,illocution,id_illocution,nodeset_id,CA,RA,CA_premise,RA_premise,CA_conclusion,RA_conclusion,speaker,Words,Num_words,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,num care.virtue,num care.vice,num fairness.virtue,num fairness.vice,num loyalty.virtue,num loyalty.vice,num authority.virtue,num authority.vice,num sanctity.virtue,num sanctity.vice,contains_care_virtue,contains_care_vice,contains_fairness_virtue,contains_fairness_vice,contains_sanctity_virtue,contains_sanctity_vice,contains_authority_virtue,contains_authority_vice,contains_loyalty_virtue,contains_loyalty_vice,no moral foundation words,final output,final input,RA final input,RA final output,CA final input,CA final output
22,Melanie Phillips : Well I take the view that what he did so badly wrong was not the hypocrisy but the drug taking,Well Melanie Phillips takes the view that what Michael Gove did so badly wrong was not the hypocrisy but the drug taking,431369,nodeset15911,0,1,0,1,0,1,Melanie,"['melanie', 'phillips', 'well', 'I', 'take', 'the', 'view', 'that', 'what', 'he', 'do', 'so', 'badly', 'wrong', 'be', 'not', 'the', 'hypocrisy', 'but', 'the', 'drug', 'take']",22,,,,hypocrisy,,,,,,drug,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23,Melanie Phillips : I take the view that we’re all hypocrites over certain things and hypocrisy is after all the tribute that vice famously pays to virtue,Melanie Phillips takes the view that we’re all hypocrites over certain things and hypocrisy is after all the tribute that vice famously pays to virtue,431373,nodeset15911,0,1,0,0,0,1,Melanie,"['melanie', 'phillips', 'I', 'take', 'the', 'view', 'that', 'we', '’', 're', 'all', 'hypocrite', 'over', 'certain', 'thing', 'and', 'hypocrisy', 'be', 'after', 'all', 'the', 'tribute', 'that', 'vice', 'famously', 'pay', 'to', 'virtue']",28,,,,"hypocrite,hypocrisy",,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
24,"Giles Fraser : Well I suspect the notion of hypocrisy has risen up the league table of offences, as our confidence in objective moral values has begun to weaken","Well Giles Fraser suspects the notion of hypocrisy has risen up the league table of offences, as our confidence in objective moral values has begun to weaken",431382,nodeset15911,0,1,0,1,1,0,Giles,"['gile', 'fraser', 'well', 'I', 'suspect', 'the', 'notion', 'of', 'hypocrisy', 'have', 'rise', 'up', 'the', 'league', 'table', 'of', 'offence', 'as', 'our', 'confidence', 'in', 'objective', 'moral', 'value', 'have', 'begin', 'to', 'weaken']",28,,,,hypocrisy,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,"Giles Fraser : if we make up our own morality for ourselves, then not keeping to our own standards is just about the only thing left that you’ve got to condemn someone about","if we make up our own morality for ourselves, then not keeping to our own standards is just about the only thing left that you’ve got to condemn someone about",431386,nodeset15911,0,1,0,0,0,1,Giles,"['gile', 'fraser', 'if', 'we', 'make', 'up', 'our', 'own', 'morality', 'for', 'ourselves', 'then', 'not', 'keep', 'to', 'our', 'own', 'standard', 'be', 'just', 'about', 'the', 'only', 'thing', 'leave', 'that', 'you', '’', 've', 'get', 'to', 'condemn', 'someone', 'about']",34,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
26,"Tim Stanley : When a politician says they regret doing something, what they mean is they regret getting caught","When a politician says they regret doing something, what they mean is they regret getting caught",431393,nodeset15911,0,1,0,1,0,1,Tim,"['tim', 'stanley', 'when', 'a', 'politician', 'say', 'they', 'regret', 'do', 'something', 'what', 'they', 'mean', 'be', 'they', 'regret', 'getting', 'catch']",18,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,Tim Stanley : Politics warps people’s morality,Politics warps people’s morality,431397,nodeset15911,0,1,0,0,0,1,Tim,"['tim', 'stanley', 'politic', 'warp', 'people', '’', 's', 'morality']",8,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
28,"Tim Stanley : And I just wish that more politicians could say, we’re all broken, we all need fixing, and that includes me","And Tim Stanley just wishes that more politicians could say, we’re all broken, we all need fixing, and that includes me",431401,nodeset15911,0,1,0,1,0,0,Tim,"['tim', 'stanley', 'and', 'I', 'just', 'wish', 'that', 'more', 'politician', 'could', 'say', 'we', '’', 're', 'all', 'break', 'we', 'all', 'need', 'fix', 'and', 'that', 'include', 'I']",24,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
29,Kehinde Andrews : Well I think we should judge this issue on the politics of hypocrisy,Well Kehinde Andrews thinks we should judge this issue on the politics of hypocrisy,431411,nodeset15911,0,1,0,0,0,1,Kehinde,"['kehinde', 'andrews', 'well', 'I', 'think', 'we', 'should', 'judge', 'this', 'issue', 'on', 'the', 'politic', 'of', 'hypocrisy']",15,,,,hypocrisy,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
30,"Kehinde Andrews : if you’ve been a politician who’s part of a regime that’s criminalised drug possession and said that they should rule you out of particular jobs and professions, then you should be judged by that standard","if you’ve been a politician who’s part of a regime that’s criminalised drug possession and said that they should rule you out of particular jobs and professions, then you should be judged by that standard",431415,nodeset15911,0,1,0,1,0,0,Kehinde,"['kehinde', 'andrews', 'if', 'you', '’', 've', 'be', 'a', 'politician', 'who', '’', 'part', 'of', 'a', 'regime', 'that', '’', 'criminalise', 'drug', 'possession', 'and', 'say', 'that', 'they', 'should', 'rule', 'you', 'out', 'of', 'particular', 'job', 'and', 'profession', 'then', 'you', 'should', 'be', 'judge', 'by', 'that', 'standard']",41,,,,,,,,,,drug,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
31,Melanie Phillips : I took an unforgiving view,Melanie Phillips took an unforgiving view,431430,nodeset15911,0,1,0,1,0,0,Melanie,"['melanie', 'phillips', 'I', 'take', 'an', 'unforgiving', 'view']",7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
32,"Melanie Phillips : as a grown man of 30 plus, he knew perfectly well how…the…of the chain of misery and damage that hard drugs do","as a grown man of 30 plus, Michael Gove knew perfectly well how…the…of the chain of misery and damage that hard drugs do",431436,nodeset15911,0,1,0,0,0,1,Melanie,"['melanie', 'phillip', 'as', 'a', 'grown', 'man', 'of', 'plus', 'he', 'know', 'perfectly', 'well', 'how', '…', 'the', '…', 'of', 'the', 'chain', 'of', 'misery', 'and', 'damage', 'that', 'hard', 'drug', 'do']",27,,damage,,,,,,,,drug,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
33,Michael Buerk : our first witness is Paul Staines who runs the Guido Fawkes website which deals in political  news and gossip in a big way,our first witness is Paul Staines who runs the Guido Fawkes website which deals in political  news and gossip in a big way,431620,nodeset15914,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'our', 'first', 'witness', 'be', 'paul', 'staine', 'who', 'run', 'the', 'guido', 'fawke', 'website', 'which', 'deal', 'in', 'political', 'news', 'and', 'gossip', 'in', 'a', 'big', 'way']",25,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,Michael Buerk : You’ve been pretty merciless on him and yet you use cocaine yourself I gather,Paul Staines has been pretty merciless on Michael Gove and he uses cocaine himself,431632,nodeset15914,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'you', '’', 've', 'be', 'pretty', 'merciless', 'on', 'he', 'and', 'yet', 'you', 'use', 'cocaine', 'yourself', 'I', 'gather']",18,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,Michael Buerk : How does that work,Being merciless on Michael Gove but using cocaine yourself works xxx,431646,nodeset15914,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'how', 'do', 'that', 'work']",6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Paul Staines : I’m pretty open about it,Paul Staines is pretty open about using cocaine,431656,nodeset15914,0,1,0,1,0,0,Paul,"['paul', 'stain', 'I', '’', 'm', 'pretty', 'open', 'about', 'it']",9,,,,,,,,,,stain,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,Paul Staines : I’ve been a…I was involved in acid house raves back in my youth,Paul Staines has been a…he was involved in acid house raves back in his youth,431672,nodeset15914,0,1,0,0,0,1,Paul,"['paul', 'stain', 'I', '’', 've', 'be', 'a', '…', 'I', 'be', 'involve', 'in', 'acid', 'house', 'rave', 'back', 'in', 'my', 'youth']",19,,,,,,,,,,stain,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
38,Paul Staines : I am one of those social middle class cocaine users,Paul Staines is one of those social middle class cocaine users,431679,nodeset15914,0,1,0,1,0,1,Paul,"['paul', 'stain', 'I', 'be', 'one', 'of', 'those', 'social', 'middle', 'class', 'cocaine', 'user']",12,,,,,,,,,,stain,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,Paul Staines : I’m a libertarian and a political journalist,Paul Staines is a libertarian and a political journalist,431699,nodeset15914,0,1,0,0,0,1,Paul,"['paul', 'stain', 'I', '’', 'm', 'a', 'libertarian', 'and', 'a', 'political', 'journalist']",11,,,,,,,,,,stain,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
40,Michael Buerk : Well you can disagree with her right now,Well you can disagree with her right now,431711,nodeset15914,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'well', 'you', 'can', 'disagree', 'with', 'she', 'right', 'now']",10,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,"Melanie Phillips : In the now famous article that Michael Gove wrote in The Times in which he criticised middle class professionals for drug taking, he actually said that…he acknowledged the problem of hypocrisy, but he said that hypocrisy shouldn’t prevent the same professionals from taking action to mitigate the harm that drugs do","In the now famous article that Michael Gove wrote in The Times in which he criticised middle class professionals for drug taking, he actually said that…he acknowledged the problem of hypocrisy, but he said that hypocrisy shouldn’t prevent the same professionals from taking action to mitigate the harm that drugs do",431719,nodeset15914,0,1,0,0,0,1,Melanie,"['melanie', 'phillips', 'in', 'the', 'now', 'famous', 'article', 'that', 'michael', 'gove', 'write', 'in', 'the', 'time', 'in', 'which', 'he', 'criticise', 'middle', 'class', 'professional', 'for', 'drug', 'take', 'he', 'actually', 'say', 'that', '…', 'he', 'acknowledge', 'the', 'problem', 'of', 'hypocrisy', 'but', 'he', 'say', 'that', 'hypocrisy', 'should', 'not', 'prevent', 'the', 'same', 'professional', 'from', 'take', 'action', 'to', 'mitigate', 'the', 'harm', 'that', 'drug', 'do']",56,,harm,,hypocrisy,,,,,,drug,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
42,"Melanie Phillips : In other words, hypocrisy is not the greatest problem","In other words, hypocrisy is not the greatest problem",431731,nodeset15914,0,1,0,1,0,0,Melanie,"['melanie', 'phillips', 'in', 'other', 'word', 'hypocrisy', 'be', 'not', 'the', 'great', 'problem']",11,,,,hypocrisy,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0
43,Melanie Phillips : The greatest problem was to prevent drug harm,The greatest problem was to prevent drug harm,431739,nodeset15914,0,1,0,0,0,1,Melanie,"['melanie', 'phillip', 'the', 'great', 'problem', 'be', 'to', 'prevent', 'drug', 'harm']",10,,harm,,,,,,,,drug,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
44,Melanie Phillips : Isn’t that the right way round,"The greatest problem being preventing drug harm, not hypocrisy is the right way round",431749,nodeset15914,1,0,1,0,0,0,Melanie,"['melanie', 'phillips', 'be', 'not', 'that', 'the', 'right', 'way', 'round']",9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
45,Paul Staines : It’s an argument,It’s an argument,431763,nodeset15914,0,0,0,0,0,0,Paul,"['paul', 'stain', 'it', '’', 'an', 'argument']",6,,,,,,,,,,stain,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,Paul Staines : I don’t think I go along with it,Paul Staines doesn’t think he goes along with hypocrisy not being the greatest problem,431769,nodeset15914,0,1,0,1,1,0,Paul,"['paul', 'stain', 'I', 'do', 'not', 'think', 'I', 'go', 'along', 'with', 'it']",11,,,,,,,,,,stain,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,"Paul Staines : it’s a medical problem, as alcohol is","using drugs is a medical problem, as alcohol is",431781,nodeset15914,0,1,0,1,0,1,Paul,"['paul', 'stain', 'it', '’', 'a', 'medical', 'problem', 'as', 'alcohol', 'be']",10,,,,,,,,,,stain,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,Paul Staines : the way to mitigate the harms from drugs are to treat it as…the people who…and in my life I’ve known people who’ve gotten in to trouble using drugs,the way to mitigate the harms from drugs are to treat it as…the people who…and in Paul Staine's life he's known people who’ve gotten in to trouble using drugs,431791,nodeset15914,0,1,0,1,0,1,Paul,"['paul', 'stain', 'the', 'way', 'to', 'mitigate', 'the', 'harm', 'from', 'drug', 'be', 'to', 'treat', 'it', 'as', '…', 'the', 'people', 'who', '…', 'and', 'in', 'my', 'life', 'I', '’', 've', 'know', 'people', 'who', '’', 've', 'get', 'in', 'to', 'trouble', 'use', 'drug']",38,,harm,,,,,,,,"stain,drug",0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,Paul Staines : the most problematic aspect of people using drug commodities is the illegality of it and the whole chain of events and criminality and violence and all that that allows,the most problematic aspect of people using drug commodities is the illegality of it and the whole chain of events and criminality and violence and all that that allows,431804,nodeset15914,0,1,0,0,0,1,Paul,"['paul', 'stain', 'the', 'most', 'problematic', 'aspect', 'of', 'people', 'use', 'drug', 'commodity', 'be', 'the', 'illegality', 'of', 'it', 'and', 'the', 'whole', 'chain', 'of', 'event', 'and', 'criminality', 'and', 'violence', 'and', 'all', 'that', 'that', 'allow']",31,,violence,,,,,,illegality,,"stain,drug",0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
50,"Melanie Phillips : No, no, but I’m talking about the nature of the offence here and where hypocrisy is the worst offence","No, no, but Melanie Phillips is talking about the nature of the offence here and where hypocrisy is the worst offence",431833,nodeset15914,0,0,0,0,0,0,Melanie,"['melanie', 'phillip', 'no', 'no', 'but', 'I', '’', 'm', 'talk', 'about', 'the', 'nature', 'of', 'the', 'offence', 'here', 'and', 'where', 'hypocrisy', 'be', 'the', 'bad', 'offence']",23,,,,hypocrisy,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
51,Paul Staines : Well I’m a libertarian so I would say his offence is hypocrisy,Well I’m a libertarian so I would say his offence is hypocrisy,431840,nodeset15914,0,0,0,0,0,0,Paul,"['paul', 'stain', 'well', 'I', '’', 'm', 'a', 'libertarian', 'so', 'I', 'would', 'say', 'his', 'offence', 'be', 'hypocrisy']",16,,,,hypocrisy,,,,,,stain,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
